Fecha,Valores
8/2/2018,0.074
15/2/2018,0.075
22/2/2018,0.075
1/3/2018,0.075
8/3/2018,0.075
15/3/2018,0.075
22/3/2018,0.074
28/3/2018,0.075
5/4/2018,0.075
12/4/2018,0.075
19/4/2018,0.075
26/4/2018,0.075
3/5/2018,0.075
10/5/2018,0.075
17/5/2018,0.076
24/5/2018,0.075
31/5/2018,0.075
7/6/2018,0.075
14/6/2018,0.076
21/6/2018,0.077
28/6/2018,0.077
5/7/2018,0.077
12/7/2018,0.077
19/7/2018,0.077
26/7/2018,0.077
2/8/2018,0.077
9/8/2018,0.077
16/8/2018,0.077
23/8/2018,0.077
30/8/2018,0.077
6/9/2018,0.077
13/9/2018,0.077
20/9/2018,0.077
27/9/2018,0.077
4/10/2018,0.077
11/10/2018,0.077
18/10/2018,0.077
25/10/2018,0.077
1/11/2018,0.078
8/11/2018,0.077
15/11/2018,0.078
22/11/2018,0.079
29/11/2018,0.080
6/12/2018,0.080
13/12/2018,0.080
20/12/2018,0.080
27/12/2018,0.082
3/1/2019,0.081
10/1/2019,0.080
17/1/2019,0.079
24/1/2019,0.079
31/1/2019,0.079
7/2/2019,0.079
14/2/2019,0.079
21/2/2019,0.079
28/2/2019,0.081
7/3/2019,0.080
14/3/2019,0.081
21/3/2019,0.082
28/3/2019,0.079
4/4/2019,0.078
11/4/2019,0.078
17/4/2019,0.078
25/4/2019,0.078
2/5/2019,0.082
9/5/2019,0.080
16/5/2019,0.081
23/5/2019,0.080
30/5/2019,0.081
6/6/2019,0.083
13/6/2019,0.083
20/6/2019,0.082
27/6/2019,0.082
4/7/2019,0.081
11/7/2019,0.082
18/7/2019,0.081
25/7/2019,0.082
1/8/2019,0.080
8/8/2019,0.082
15/8/2019,0.081
22/8/2019,0.080
29/8/2019,0.079
5/9/2019,0.078
12/9/2019,0.077
19/9/2019,0.077
26/9/2019,0.076
3/10/2019,0.077
10/10/2019,0.077
17/10/2019,0.077
24/10/2019,0.077
31/10/2019,0.076
7/11/2019,0.076
14/11/2019,0.075
21/11/2019,0.074
28/11/2019,0.075
5/12/2019,0.074
11/12/2019,0.070
19/12/2019,0.068
26/12/2019,0.073
2/1/2020,0.073
9/1/2020,0.073
16/1/2020,0.070
23/1/2020,0.071
30/1/2020,0.070
6/2/2020,0.070
13/2/2020,0.070
20/2/2020,0.070
27/2/2020,0.069
5/3/2020,0.067
12/3/2020,0.068
19/3/2020,0.072
26/3/2020,0.066
2/4/2020,0.064
8/4/2020,0.062
16/4/2020,0.060
23/4/2020,0.060
30/4/2020,0.058
7/5/2020,0.057
14/5/2020,0.054
21/5/2020,0.054
28/5/2020,0.054
4/6/2020,0.053
11/6/2020,0.052
18/6/2020,0.050
25/6/2020,0.049
2/7/2020,0.048
9/7/2020,0.050
16/7/2020,0.049
23/7/2020,0.048
30/7/2020,0.046
6/8/2020,0.045
13/8/2020,0.045
20/8/2020,0.044
27/8/2020,0.045
3/9/2020,0.044
10/9/2020,0.044
17/9/2020,0.045
24/9/2020,0.043
1/10/2020,0.042
8/10/2020,0.043
15/10/2020,0.042
22/10/2020,0.041
29/10/2020,0.042
5/11/2020,0.043
12/11/2020,0.041
19/11/2020,0.042
26/11/2020,0.043
3/12/2020,0.044
10/12/2020,0.043
17/12/2020,0.042
24/12/2020,0.043
31/12/2020,0.042
7/1/2021,0.043
14/1/2021,0.042
21/1/2021,0.042
28/1/2021,0.042
4/2/2021,0.042
11/2/2021,0.042
18/2/2021,0.040
25/2/2021,0.040
4/3/2021,0.041
11/3/2021,0.041
18/3/2021,0.041
25/3/2021,0.040
31/3/2021,0.041
8/4/2021,0.041
15/4/2021,0.041
22/4/2021,0.041
29/4/2021,0.041
6/5/2021,0.041
13/5/2021,0.041
20/5/2021,0.041
